Precinct,1ST CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FOUR DISTRICT 4,2ND CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FOUR DISTRICT 4,3RD CHOICE PARK AND RECREATION COMMISSIONER DISTRICT FOUR DISTRICT 4,COUNT
MINNEAPOLIS W-10 P-02,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-09,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-08,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,BOBBY DAVIS,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-10 P-02,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,UWI,undervote,undervote,1
MINNEAPOLIS W-7 P-05,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,BOBBY DAVIS,BOBBY DAVIS,BOBBY DAVIS,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-02,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-3 P-08,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-06,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-09,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-01C,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-07,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,UWI,ANITA TABB,1
MINNEAPOLIS W-7 P-03,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,BOBBY DAVIS,BOBBY DAVIS,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,UWI,undervote,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,UWI,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,UWI,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-06,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-10 P-02,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-10,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-09,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-3 P-09,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-6 P-04,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-09,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-07,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-08,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-06,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-04D,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-08,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-06,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-02,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-6 P-09,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-10,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-07,UWI,undervote,undervote,1
MINNEAPOLIS W-7 P-05,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-06,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-3 P-09,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-01,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-04D,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-3 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,ANITA TABB,ANITA TABB,1
MINNEAPOLIS W-10 P-02,ANITA TABB,BOBBY DAVIS,UWI,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-10,ANITA TABB,undervote,BOBBY DAVIS,1
MINNEAPOLIS W-10 P-02,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-07,BOBBY DAVIS,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-03,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-6 P-09,BOBBY DAVIS,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-10 P-03A,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-07,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-7 P-10,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-02D,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-01C,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-7 P-06,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-05,BOBBY DAVIS,ANITA TABB,undervote,1
MINNEAPOLIS W-6 P-04,ANITA TABB,BOBBY DAVIS,undervote,1
MINNEAPOLIS W-7 P-05,undervote,undervote,undervote,1
MINNEAPOLIS W-10 P-09,ANITA TABB,undervote,undervote,1
MINNEAPOLIS W-10 P-07,undervote,undervote,undervote,1
